,sale_date,month_num,total_daily_sale
60,03.07.2013,6,2114242.0005340576
61,03.07.2014,18,2326974.999649048
62,03.08.2013,7,2845627.9993530884
63,03.08.2014,19,2684737.000427246
64,03.09.2013,8,3939675.9999542236
65,03.09.2014,20,1697499.9994049072
66,03.10.2013,9,3369595.1999664307
67,03.10.2014,21,7073700.06811142
68,03.11.2013,10,4708061.000061035
69,03.11.2014,22,4438855.859451294
70,03.12.2013,11,3089814.9958953857
71,03.12.2014,23,3955712.5980682373
72,04.01.2013,0,4769843.499778748
73,04.01.2014,12,5692653.00012207
74,04.02.2013,1,1549035.9999694824
75,04.02.2014,13,2312332.3407821655
76,04.03.2013,2,2170376.009780884
77,04.03.2014,14,2452797.1999816895
78,04.04.2013,3,1820235.9998321533
79,04.04.2014,15,2743502.000061035
80,04.05.2013,4,2047839.9997406006
81,04.05.2014,16,2190188.449415326
82,04.06.2013,5,1800485.1996560246
83,04.06.2014,17,2411478.5000915527
84,04.07.2013,6,2395575.5500335693
85,04.07.2014,18,2724840.9999694824
86,04.08.2013,7,2332076.600262478
87,04.08.2014,19,2406480.0001220703
88,04.09.2013,8,2632959.000038147
89,04.09.2014,20,3122962.5023345947
90,04.10.2013,9,4798744.320968628
91,04.10.2014,21,9084321.378082275
92,04.11.2013,10,3538407.999481201
93,04.11.2014,22,3359191.640197754
94,04.12.2013,11,3349828.9998931885
95,04.12.2014,23,3902489.5306777954
96,05.01.2013,0,4600005.400947571
97,05.01.2014,12,5023961.999725342
98,05.02.2013,1,2731695.1995391846
99,05.02.2014,13,5340504.000442505
100,05.03.2013,2,3895337.499435425
101,05.03.2014,14,2517129.0001831055
102,05.04.2013,3,2539158.2997894287
103,05.04.2014,15,4386783.999801636
104,05.05.2013,4,1825571.9799118042
105,05.05.2014,16,1538402.230682373
106,05.06.2013,5,2027323.9998856783
107,05.06.2014,17,2279727.0001831055
108,05.07.2013,6,2416733.7005138397
109,05.07.2014,18,3195852.9998168945
110,05.08.2013,7,1924476.0004913658
111,05.08.2014,19,2475125.9999465942
112,05.09.2013,8,2522738.6500930786
113,05.09.2014,20,3119622.0554504395
114,05.10.2013,9,6947839.998031616
115,05.10.2014,21,7407509.497627258
116,05.11.2013,10,4464195.999938965
117,05.11.2014,22,2672423.2302246094
118,05.12.2013,11,3846049.9999465942
119,05.12.2014,23,4582787.1089782715
120,06.01.2013,0,4288608.000640869
121,06.01.2014,12,4686705.999481201
122,06.02.2013,1,2101852.0
123,06.02.2014,13,4755759.0006866455
124,06.03.2013,2,3093815.0001983643
125,06.03.2014,14,2853218.9999542236
126,06.04.2013,3,3953706.000076294
127,06.04.2014,15,2928225.9998931885
128,06.05.2013,4,1615513.4997406006
129,06.05.2014,16,1913952.5297510624
130,06.06.2013,5,2251729.999848321
131,06.06.2014,17,2697302.9999084473
132,06.07.2013,6,2826982.0001010895
133,06.07.2014,18,2544215.0005493164
134,06.08.2013,7,2008468.3707611263
135,06.08.2014,19,2386137.000099182
136,06.09.2013,8,3107414.9998779297
137,06.09.2014,20,4336570.326004028
138,06.10.2013,9,6177722.498123169
139,06.10.2014,21,2667811.940109253
140,06.11.2013,10,3216917.999694824
141,06.11.2014,22,2913023.6600494385
142,06.12.2013,11,6466936.015670776
143,06.12.2014,23,7302596.019454956
144,07.01.2013,0,3390826.9999694824
145,07.01.2014,12,3847042.999809265
146,07.02.2013,1,2970134.9975891113
147,07.02.2014,13,4199095.200622559
148,07.03.2013,2,4728775.604057312
149,07.03.2014,14,4036115.9977264404
150,07.04.2013,3,3230908.9998016357
151,07.04.2014,15,1937292.0005950928
152,07.05.2013,4,1633888.0
153,07.05.2014,16,1926756.3102742434
154,07.06.2013,5,3255712.0001573116
155,07.06.2014,17,3710616.9998931885
156,07.07.2013,6,2675329.0000915527
157,07.07.2014,18,2256514.4303245544
158,07.08.2013,7,2001153.3999756053
159,07.08.2014,19,2188380.9999160767
160,07.09.2013,8,3964526.4995422363
161,07.09.2014,20,3269530.4400634766
162,07.10.2013,9,2374761.999938965
163,07.10.2014,21,3097361.210083008
164,07.11.2013,10,2866273.9999923706
165,07.11.2014,22,3938888.229774475
166,07.12.2013,11,6486652.999732971
167,07.12.2014,23,5591035.339691162
168,08.01.2013,0,3396463.000366211
169,08.01.2014,12,3818879.9998779297
170,08.02.2013,1,3195422.0001678467
171,08.02.2014,13,6343342.999404907
172,08.03.2013,2,5003399.988594055
173,08.03.2014,14,4468582.000137329
174,08.04.2013,3,1662712.9999694824
175,08.04.2014,15,1928065.9995269775
176,08.05.2013,4,2222553.979576111
177,08.05.2014,16,2319683.269775629
178,08.06.2013,5,3189347.9988190234
179,08.06.2014,17,2834340.9999694824
180,08.07.2013,6,1908362.9998931885
181,08.07.2014,18,2126935.580171585
182,08.08.2013,7,2043215.7003159001
183,08.08.2014,19,2906155.000076294
184,08.09.2013,8,3230409.519805908
185,08.09.2014,20,2382267.000366211
186,08.10.2013,9,2307332.2901000977
187,08.10.2014,21,3662297.3202705383
188,08.11.2013,10,3418654.0001983643
189,08.11.2014,22,5215578.549583435
190,08.12.2013,11,4324322.999938965
191,08.12.2014,23,3498380.0001831055
192,09.01.2013,0,2240191.0003738403
193,09.01.2014,12,2704025.000289917
194,09.02.2013,1,4612287.500076294
195,09.02.2014,13,5175823.000564575
196,09.03.2013,2,4312045.500946045
197,09.03.2014,14,3795873.000076294
198,09.04.2013,3,1805215.9997558594
199,09.04.2014,15,1875962.0001182556
200,09.05.2013,4,1759651.3899841309
201,09.05.2014,16,2045782.9496560097
202,09.06.2013,5,2446856.999397546
203,09.06.2014,17,2284312.980178833
204,09.07.2013,6,2019216.000339508
205,09.07.2014,18,2337452.400039673
206,09.08.2013,7,2049878.9999237433
207,09.08.2014,19,3278721.499900818
208,09.09.2013,8,1940633.9998321533
209,09.09.2014,20,4034495.0001220703
210,09.10.2013,9,4559012.991744995
211,09.10.2014,21,3964939.6501083374
212,09.11.2013,10,4450358.999679565
213,09.11.2014,22,3832238.0101776123
214,09.12.2013,11,2908682.000061035
215,09.12.2014,23,3671724.2001190186
216,10.01.2013,0,2320067.000518799
217,10.01.2014,12,2792131.0000915527
218,10.02.2013,1,3656618.9999542236
219,10.02.2014,13,3294464.9996185303
220,10.03.2013,2,3379639.9991607666
221,10.03.2014,14,2636862.0004119873
222,10.04.2013,3,1851603.650024414
223,10.04.2014,15,2200773.8999786377
224,10.05.2013,4,1924470.9997329712
225,10.05.2014,16,2595665.800108433
226,10.06.2013,5,1846270.5006929338
227,10.06.2014,17,2857244.0001220703
228,10.07.2013,6,2112576.0004882812
229,10.07.2014,18,2404592.940032959
230,10.08.2013,7,2465744.0002853945
231,10.08.2014,19,2740762.0000534058
232,10.09.2013,8,2289412.4900741577
233,10.09.2014,20,3621909.999984741
234,10.10.2013,9,3409207.499862671
235,10.10.2014,21,4023544.5492401123
236,10.11.2013,10,3876932.989959717
237,10.11.2014,22,2449090.5001220703
238,10.12.2013,11,3305239.0000915527
239,10.12.2014,23,3698089.000366211
240,11.01.2013,0,2882485.5995559692
241,11.01.2014,12,4098229.499435425
242,11.02.2013,1,2580950.0002212524
243,11.02.2014,13,2975368.0991516113
244,11.03.2013,2,2120932.0001220703
245,11.03.2014,14,1935674.0001220703
246,11.04.2013,3,2243507.9998703003
247,11.04.2014,15,2905371.999984741
248,11.05.2013,4,2075247.9897537231
249,11.05.2014,16,2258597.1694221497
250,11.06.2013,5,2401413.199649468
251,11.06.2014,17,2933884.250104904
252,11.07.2013,6,2088669.0000458583
253,11.07.2014,18,2772584.580265045
254,11.08.2013,7,2166280.0000961646
255,11.08.2014,19,2154701.0003204346
256,11.09.2013,8,2383221.299720764
257,11.09.2014,20,4205711.001091003
258,11.10.2013,9,3927424.999458313
259,11.10.2014,21,4886562.551567078
260,11.11.2013,10,2116713.1999664307
261,11.11.2014,22,2678418.9999084473
262,11.12.2013,11,2977621.1904182434
263,11.12.2014,23,3818327.9999694824
264,12.01.2013,0,3631379.000930786
265,12.01.2014,12,3019627.0000305176
266,12.02.2013,1,2847933.699701309
267,12.02.2014,13,3083329.4208755493
268,12.03.2013,2,3673704.701385498
269,12.03.2014,14,1809260.0
270,12.04.2013,3,2503752.999897003
271,12.04.2014,15,3836711.999786377
272,12.05.2013,4,1844918.9999542236
273,12.05.2014,16,1379446.0299474
274,12.06.2013,5,2648511.4987764657
275,12.06.2014,17,3908879.000574112
276,12.07.2013,6,2478371.4998597503
277,12.07.2014,18,3193397.3909454346
278,12.08.2013,7,1731933.6204818934
279,12.08.2014,19,2471886.9999694824
280,12.09.2013,8,2192898.9899902344
281,12.09.2014,20,3734055.1591186523
282,12.10.2013,9,4799531.000930786
283,12.10.2014,21,4014720.0000076294
284,12.11.2013,10,2017048.9999542236
285,12.11.2014,22,2309545.500061035
286,12.12.2013,11,2954250.1999664307
287,12.12.2014,23,4911485.469581604
288,13.01.2013,0,3094389.010040283
289,13.01.2014,12,2269660.0001220703
290,13.02.2013,1,2789762.9998931885
291,13.02.2014,13,2886167.489768982
292,13.03.2013,2,3731395.400970459
293,13.03.2014,14,1920096.99949646
294,13.04.2013,3,3864137.0000915527
295,13.04.2014,15,3243582.0000305176
296,13.05.2013,4,1199589.9996948242
297,13.05.2014,16,1372515.1403409243
298,13.06.2013,5,1995062.9900605828
299,13.06.2014,17,3195268.990272522
300,13.07.2013,6,2688105.000627257
301,13.07.2014,18,2346052.420337677
302,13.08.2013,7,2016766.0000488386
303,13.08.2014,19,2450433.199760437
304,13.09.2013,8,2557852.499694824
305,13.09.2014,20,4598309.001075745
306,13.10.2013,9,3774443.3003997803
307,13.10.2014,21,2273313.60994339
308,13.11.2013,10,2030833.000152588
309,13.11.2014,22,9523485.716262817
310,13.12.2013,11,4862633.599533081
311,13.12.2014,23,7762705.079650879
312,14.01.2013,0,1992200.4001922607
313,14.01.2014,12,1957949.0005493164
314,14.02.2013,1,2801837.499677658
315,14.02.2014,13,3667991.149269104
316,14.03.2013,2,3052875.1996307373
317,14.03.2014,14,3436042.9896850586
318,14.04.2013,3,2983609.9999542236
319,14.04.2014,15,2309482.000015259
320,14.05.2013,4,1269994.0001220703
321,14.05.2014,16,1704129.999847412
322,14.06.2013,5,6152369.213340864
323,14.06.2014,17,2628104.9998321533
324,14.07.2013,6,2477734.990521334
325,14.07.2014,18,2245632.180000305
326,14.08.2013,7,1970345.0003051981
327,14.08.2014,19,2728375.000076294
328,14.09.2013,8,3748246.9999694824
329,14.09.2014,20,3938116.9996261597
330,14.10.2013,9,2379739.1497268677
331,14.10.2014,21,3097429.3899269104
332,14.11.2013,10,2044141.3700637817
333,14.11.2014,22,5366194.24810791
334,14.12.2013,11,7899760.979888916
335,14.12.2014,23,5861005.879959106
336,15.01.2013,0,2533773.0005493164
337,15.01.2014,12,2113829.000076294
338,15.02.2013,1,3100127.0
339,15.02.2014,13,4563128.360778809
340,15.03.2013,2,3965765.9998779297
341,15.03.2014,14,3993937.990097046
342,15.04.2013,3,1672802.0001983643
343,15.04.2014,15,4878891.9967803955
344,15.05.2013,4,1536510.290184021
345,15.05.2014,16,1882382.6004180908
346,15.06.2013,5,4069272.9892884865
347,15.06.2014,17,2518237.0000305176
348,15.07.2013,6,1770720.9997910038
349,15.07.2014,18,2205868.5114097595
350,15.08.2013,7,2194838.9901779443
351,15.08.2014,19,3129031.9998931885
352,15.09.2013,8,3145123.0001068115
353,15.09.2014,20,2744144.0001220703
354,15.10.2013,9,2353931.8003845215
355,15.10.2014,21,2700284.3198776245
356,15.11.2013,10,2938426.1999969482
357,15.11.2014,22,6675217.269668579
358,15.12.2013,11,5631551.000061035
359,15.12.2014,23,4468946.299167633
360,16.01.2013,0,2327435.000015259
361,16.01.2014,12,2182636.9999084473
362,16.02.2013,1,4482673.000865936
363,16.02.2014,13,3431218.001937866
364,16.03.2013,2,5347529.9998550415
365,16.03.2014,14,3196511.999938965
366,16.04.2013,3,1713463.0
367,16.04.2014,15,2464713.000480652
368,16.05.2013,4,1463020.0007629395
369,16.05.2014,16,2224021.0006103516
370,16.06.2013,5,2935927.99290023
371,16.06.2014,17,2135766.9999694824
372,16.07.2013,6,2159025.9902405664
373,16.07.2014,18,2040713.5303554535
374,16.08.2013,7,2448546.0002266467
375,16.08.2014,19,3286431.000656128
376,16.09.2013,8,1958360.0001068115
377,16.09.2014,20,2921516.999984741
378,16.10.2013,9,2210368.3999328613
379,16.10.2014,21,2815893.769996643
380,16.11.2013,10,4488250.979919434
381,16.11.2014,22,5219819.040420532
382,16.12.2013,11,5320372.200180054
383,16.12.2014,23,6326060.438484192
384,17.01.2013,0,2255071.999725342
385,17.01.2014,12,2807917.9998931885
386,17.02.2013,1,3895391.1995162964
387,17.02.2014,13,2198312.700904846
388,17.03.2013,2,3833323.499633789
389,17.03.2014,14,2679829.0000457764
390,17.04.2013,3,1605419.0998382568
391,17.04.2014,15,2749538.999923706
392,17.05.2013,4,3432371.889198303
393,17.05.2014,16,3196866.001876831
394,17.06.2013,5,2354053.2884995863
395,17.06.2014,17,2402371.0001220703
396,17.07.2013,6,2118068.000280842
397,17.07.2014,18,1985874.6010742188
398,17.08.2013,7,2812656.980644308
399,17.08.2014,19,3194495.940093994
400,17.09.2013,8,12255043.984603882
401,17.09.2014,20,2538469.9999084473
402,17.10.2013,9,2308037.2007217407
403,17.10.2014,21,3246437.2097320557
404,17.11.2013,10,3757781.0
405,17.11.2014,22,3360599.4498176575
406,17.12.2013,11,4767784.000175476
407,17.12.2014,23,6950114.331390381
408,18.01.2013,0,2691376.599899292
409,18.01.2014,12,3780779.0003967285
410,18.02.2013,1,1949640.9995422363
411,18.02.2014,13,2185291.000808716
412,18.03.2013,2,2320225.9996795654
413,18.03.2014,14,2416235.999923706
414,18.04.2013,3,1713932.9998321533
415,18.04.2014,15,2885320.000015259
416,18.05.2013,4,3335427.9996414185
417,18.05.2014,16,2729196.9997406006
418,18.06.2013,5,2332613.4992692396
419,18.06.2014,17,2358377.0005340576
420,18.07.2013,6,2007843.9999329224
421,18.07.2014,18,2201153.7298049927
422,18.08.2013,7,2347574.0004730597
423,18.08.2014,19,3007599.999771118
424,18.09.2013,8,9599832.327468872
425,18.09.2014,20,2321650.9998550415
426,18.10.2013,9,2917806.9998703003
427,18.10.2014,21,4858564.199287415
428,18.11.2013,10,1994548.9999847412
429,18.11.2014,22,12006711.635444641
430,18.12.2013,11,6568413.000198364
431,18.12.2014,23,8424582.15789032
432,19.01.2013,0,4124163.0001831055
433,19.01.2014,12,3550948.3201904297
434,19.02.2013,1,3182896.6014709473
435,19.02.2014,13,3639961.0001068115
436,19.03.2013,2,2174662.599594116
437,19.03.2014,14,3480864.2000579834
438,19.04.2013,3,2831838.198852539
439,19.04.2014,15,3688460.0001831055
440,19.05.2013,4,2644217.9897613525
441,19.05.2014,16,1543709.0000457764
442,19.06.2013,5,2210246.9993012846
443,19.06.2014,17,2346299.9998931885
444,19.07.2013,6,2187255.959809929
445,19.07.2014,18,2750825.1801986694
446,19.08.2013,7,2001863.2791214213
447,19.08.2014,19,4205098.2032318115
448,19.09.2013,8,4019796.9799575806
449,19.09.2014,20,2955423.0002593994
450,19.10.2013,9,4330236.999191284
451,19.10.2014,21,4069942.8993930817
452,19.11.2013,10,2553736.9999694824
453,19.11.2014,22,9052717.87739563
454,19.12.2013,11,8756510.199882507
455,19.12.2014,23,9906659.439666748
456,20.01.2013,0,3568119.9999542236
457,20.01.2014,12,1778964.2001495361
458,20.02.2013,1,2890884.999977112
459,20.02.2014,13,4863461.000167847
460,20.03.2013,2,2401839.00002861
461,20.03.2014,14,3561210.199569702
462,20.04.2013,3,3633645.499267578
463,20.04.2014,15,2537479.979904175
464,20.05.2013,4,1799232.9998703003
465,20.05.2014,16,2360981.000350952
466,20.06.2013,5,2362716.989982404
467,20.06.2014,17,2884051.000213623
468,20.07.2013,6,2789558.0011078566
469,20.07.2014,18,2503666.220479965
470,20.08.2013,7,2078682.8503021598
471,20.08.2014,19,2970973.999732971
472,20.09.2013,8,5413255.995391846
473,20.09.2014,20,4008189.00025177
474,20.10.2013,9,3766559.9984436035
475,20.10.2014,21,2234215.7399787903
476,20.11.2013,10,2162634.200241089
477,20.11.2014,22,7634409.373756409
478,20.12.2013,11,6621843.399482727
479,20.12.2014,23,12457282.215122223
480,21.01.2013,0,1943682.999961853
481,21.01.2014,12,2333458.999725342
482,21.02.2013,1,4052911.99792099
483,21.02.2014,13,5744002.500141144
484,21.03.2013,2,2406333.0005836487
485,21.03.2014,14,8945001.00088501
486,21.04.2013,3,2926704.999710083
487,21.04.2014,15,1683039.000137329
488,21.05.2013,4,1800908.9900436401
489,21.05.2014,16,2021469.0009918213
490,21.06.2013,5,2699088.0000901967
491,21.06.2014,17,3770827.0014419556
492,21.07.2013,6,2544051.9996571466
493,21.07.2014,18,2239173.000640869
494,21.08.2013,7,2282303.0003464073
495,21.08.2014,19,2645404.000267029
496,21.09.2013,8,5912702.0018463135
497,21.09.2014,20,3412592.999862671
498,21.10.2013,9,1782908.199798584
499,21.10.2014,21,1933261.1699447632
500,21.11.2013,10,4772442.005577087
501,21.11.2014,22,6946718.230079651
502,21.12.2013,11,9325789.999771118
503,21.12.2014,23,9566891.489086151
504,22.01.2013,0,1916558.500038147
505,22.01.2014,12,2032697.9999465942
506,22.02.2013,1,6334178.896209717
507,22.02.2014,13,7650986.003074646
508,22.03.2013,2,3391344.498937607
509,22.03.2014,14,7540757.003540039
510,22.04.2013,3,1692081.9999923706
511,22.04.2014,15,2307620.99974823
512,22.05.2013,4,1748493.9998168945
513,22.05.2014,16,1894080.0004119873
514,22.06.2013,5,3203761.0004778504
515,22.06.2014,17,2718730.9996795654
516,22.07.2013,6,2027887.9900192693
517,22.07.2014,18,2069629.0
518,22.08.2013,7,2299595.9998825416
519,22.08.2014,19,3057055.000514984
520,22.09.2013,8,3856397.999900818
521,22.09.2014,20,2326548.0002593994
522,22.10.2013,9,1770377.1503601074
523,22.10.2014,21,1979270.8200759888
524,22.11.2013,10,5101565.99760437
525,22.11.2014,22,7609428.2498168945
526,22.12.2013,11,7696579.302871704
527,22.12.2014,23,6943845.496261597
528,23.01.2013,0,1816671.0001983643
529,23.01.2014,12,2027780.0000610352
530,23.02.2013,1,6835117.458450317
531,23.02.2014,13,5663534.159770966
532,23.03.2013,2,4785604.998802185
533,23.03.2014,14,4666932.998901367
534,23.04.2013,3,1563923.9997253418
535,23.04.2014,15,3027908.299972534
536,23.05.2013,4,1788371.0003643036
537,23.05.2014,16,2547618.999862671
538,23.06.2013,5,2832943.4997149035
539,23.06.2014,17,2242489.000854492
540,23.07.2013,6,2114131.000717193
541,23.07.2014,18,2064459.9993591309
542,23.08.2013,7,2482863.0001282543
543,23.08.2014,19,3379938.0001983643
544,23.09.2013,8,2859499.9460144043
545,23.09.2014,20,4011716.000137329
546,23.10.2013,9,1815995.0000457764
547,23.10.2014,21,2129059.289932251
548,23.11.2013,10,5284041.980148315
549,23.11.2014,22,5948423.9998931885
550,23.12.2013,11,5372724.700134277
551,23.12.2014,23,7157203.448059082
552,24.01.2013,0,2005020.7801513672
553,24.01.2014,12,2767107.999809265
554,24.02.2013,1,4251372.000015259
555,24.02.2014,13,2813289.050048828
556,24.03.2013,2,3608101.299850464
557,24.03.2014,14,3432591.2000865936
558,24.04.2013,3,1624750.9999084473
559,24.04.2014,15,2059046.000289917
560,24.05.2013,4,2486730.7992248535
561,24.05.2014,16,3317025.000804901
562,24.06.2013,5,2079706.1902008057
563,24.06.2014,17,2115925.5800323486
564,24.07.2013,6,1963396.0006500855
565,24.07.2014,18,2154405.990234375
566,24.08.2013,7,3285466.9994293675
567,24.08.2014,19,2996274.0001983643
568,24.09.2013,8,4766179.990081787
569,24.09.2014,20,3630917.000076294
570,24.10.2013,9,2034887.0002593994
571,24.10.2014,21,2910318.998260498
572,24.11.2013,10,4072762.9999923706
573,24.11.2014,22,3661829.000152588
574,24.12.2013,11,6838933.9900512695
575,24.12.2014,23,7012667.798309326
576,25.01.2013,0,2761347.8698120117
577,25.01.2014,12,3814467.9996032715
578,25.02.2013,1,2325435.499282837
579,25.02.2014,13,2221065.9999694824
580,25.03.2013,2,2176391.0001068115
581,25.03.2014,14,3303604.9999084473
582,25.04.2013,3,2082856.9999923706
583,25.04.2014,15,2506579.0007247925
584,25.05.2013,4,3315276.0004730225
585,25.05.2014,16,2528606.9988250732
586,25.06.2013,5,2640063.000984192
587,25.06.2014,17,2211127.0005493164
588,25.07.2013,6,1927299.9998287857
589,25.07.2014,18,2159740.4992370605
590,25.08.2013,7,2880897.000104964
591,25.08.2014,19,2742221.0000915527
592,25.09.2013,8,3527763.0
593,25.09.2014,20,6945951.996082306
594,25.10.2013,9,3468775.6999816895
595,25.10.2014,21,4192990.099761963
596,25.11.2013,10,2313995.0
597,25.11.2014,22,3686946.1600646973
598,25.12.2013,11,7110539.999954224
599,25.12.2014,23,6439653.948165894
600,26.01.2013,0,4024278.499938965
601,26.01.2014,12,3239684.33013916
602,26.02.2013,1,2055006.8997497559
603,26.02.2014,13,2394806.0001220703
604,26.03.2013,2,2973376.2000808716
605,26.03.2014,14,2999525.0
606,26.04.2013,3,2254758.099838257
607,26.04.2014,15,3789380.9899959564
608,26.05.2013,4,2878410.990020752
609,26.05.2014,16,1748282.000152588
610,26.06.2013,5,2157653.7004470825
611,26.06.2014,17,2894132.000213623
612,26.07.2013,6,2108475.000140436
613,26.07.2014,18,2796919.999923706
614,26.08.2013,7,2140008.5005356
615,26.08.2014,19,2561036.999732971
616,26.09.2013,8,4676407.398902893
617,26.09.2014,20,11375739.015716553
618,26.10.2013,9,4683644.999053955
619,26.10.2014,21,3407028.000137329
620,26.11.2013,10,2198321.3500823975
621,26.11.2014,22,3735453.84923172
622,26.12.2013,11,8015523.9998931885
623,26.12.2014,23,10133919.193832397
624,27.01.2013,0,3332954.9999694824
625,27.01.2014,12,1968093.0005950928
626,27.02.2013,1,2143728.9999694824
627,27.02.2014,13,2804779.999862671
628,27.03.2013,2,2532890.200691223
629,27.03.2014,14,2927891.000366211
630,27.04.2013,3,3268970.0497131348
631,27.04.2014,15,3280957.000289917
632,27.05.2013,4,1747630.0001220703
633,27.05.2014,16,15123379.002120972
634,27.06.2013,5,2248431.9998397827
635,27.06.2014,17,3244774.000061035
636,27.07.2013,6,2851356.1992600188
637,27.07.2014,18,2609848.0003204346
638,27.08.2013,7,1963565.5002563596
639,27.08.2014,19,2910997.200363159
640,27.09.2013,8,3924703.9996795654
641,27.09.2014,20,7189874.992340088
642,27.10.2013,9,3737030.999786377
643,27.10.2014,21,1832879.0000305176
644,27.11.2013,10,1918435.9999828339
645,27.11.2014,22,3701276.660018921
646,27.12.2013,11,9367069.702285767
647,27.12.2014,23,15685395.597106934
648,28.01.2013,0,1782022.2001190186
649,28.01.2014,12,1966531.0005950928
650,28.02.2013,1,2033015.6001281738
651,28.02.2014,13,4131456.998161316
652,28.03.2013,2,2768418.9993286133
653,28.03.2014,14,3260463.0000076294
654,28.04.2013,3,2746719.999984741
655,28.04.2014,15,2018374.0002746582
656,28.05.2013,4,1863684.1996994019
657,28.05.2014,16,5365195.199966431
658,28.06.2013,5,2503542.9999542236
659,28.06.2014,17,3581822.9997558594
660,28.07.2013,6,2404343.3002655804
661,28.07.2014,18,1943867.000152588
662,28.08.2013,7,2961113.4698486403
663,28.08.2014,19,2821830.9997503757
664,28.09.2013,8,5517813.9995651245
665,28.09.2014,20,5018008.003570557
666,28.10.2013,9,2127805.0000457764
667,28.10.2014,21,2046943.399963379
668,28.11.2013,10,2079329.04006958
669,28.11.2014,22,4481983.610084534
670,28.12.2013,11,14673756.000686646
671,28.12.2014,23,12478214.998672485
672,29.01.2013,0,1912349.0001220703
673,29.01.2014,12,2052237.000213623
674,29.03.2013,2,3345206.000305176
675,29.03.2014,14,4445388.99937439
676,29.04.2013,3,1746366.0002059937
677,29.04.2014,15,1965255.0003967285
678,29.05.2013,4,1772174.999961853
679,29.05.2014,16,4058332.5903778076
680,29.06.2013,5,2994822.9998321533
681,29.06.2014,17,2764613.0004882812
682,29.07.2013,6,1901630.650407441
683,29.07.2014,18,2044614.0000610352
684,29.08.2013,7,3609345.200334184
685,29.08.2014,19,3005445.9996795654
686,29.09.2013,8,4111360.0000839233
687,29.09.2014,20,3892986.000015259
688,29.10.2013,9,6891575.28666687
689,29.10.2014,21,2243423.9999084473
690,29.11.2013,10,36555220.90576172
691,29.11.2014,22,6373486.999557495
692,29.12.2013,11,14290076.499046326
693,29.12.2014,23,11136209.398361206
694,30.01.2013,0,1978012.0001296997
695,30.01.2014,12,2019107.700515747
696,30.03.2013,2,4366051.999713898
697,30.03.2014,14,3468760.4993515015
698,30.04.2013,3,2419104.0000915527
699,30.04.2014,15,2610491.000274658
700,30.05.2013,4,2133776.2997665405
701,30.05.2014,16,4330993.829330444
702,30.06.2013,5,2492583.000190735
703,30.06.2014,17,2401288.9901275635
704,30.07.2013,6,2067047.0000672564
705,30.07.2014,18,5622156.009292603
706,30.08.2013,7,3290063.980587788
707,30.08.2014,19,3753350.9994888306
708,30.09.2013,8,2600741.689880371
709,30.09.2014,20,3763115.999923706
710,30.10.2013,9,3840309.299850464
711,30.10.2014,21,2173437.199783325
712,30.11.2013,10,8514152.9921875
713,30.11.2014,22,4926448.200027466
714,30.12.2013,11,14700190.195526123
715,30.12.2014,23,17041862.997062683
